연도,날짜,팀,G,투구수,IP,타자수,피안타,피홈런,볼넷,삼진,실점,자책,lgIP,lgERA,fip_const,home_stadium,FinalPF,ERA,RA9,WHIP,K/9,BB/9,HR/9,K%,BB%,FIP,ERA+,ERA-,IP_O
2026,2026-03-31,LG,19.0,531.0,27.0,134.0,41.0,3.0,18.0,19.0,24.0,24.0,272.0,5.525735294117647,3.871323529411765,잠실,0.9512583942824044,8.0,8.0,2.185185185185185,6.333333333333333,6.0,1.0,0.1417910447761194,0.1343283582089552,5.908360566448802,65.86149610151936,151.8337813733525,27.0
2026,2026-04-01,LG,26.0,696.0,36.0,170.0,48.0,4.0,21.0,26.0,26.0,26.0,359.3333333333333,5.760667903525047,4.043599257884972,잠실,0.9512583942824044,6.5,6.5,1.9166666666666667,6.5,5.25,1.0,0.1529411764705882,0.1235294117647058,5.793599257884972,84.5066692987639,118.33385557589682,36.0
2026,2026-04-02,LG,30.0,820.0,45.0,206.0,55.0,4.0,23.0,30.0,27.0,27.0,445.3333333333333,5.719311377245509,4.077844311377246,잠실,0.9512583942824044,5.4,5.4,1.7333333333333334,6.0,4.6,0.8,0.145631067961165,0.1116504854368932,5.433399866932801,100.99072362083328,99.01899542323022,45.0
2026,2026-04-03,LG,35.0,955.0,53.0,242.0,66.0,4.0,26.0,39.0,32.0,32.0,534.3333333333334,5.592014971927635,3.980661260137242,잠실,0.9512583942824044,5.433962264150943,5.433962264150943,1.7358490566037736,6.622641509433962,4.415094339622642,0.6792452830188679,0.1611570247933884,0.1074380165289256,4.96179333560894,98.1257998131731,101.90999736093389,53.0
2026,2026-04-04,LG,41.0,1115.0,62.0,281.0,76.0,4.0,28.0,47.0,36.0,35.0,624.3333333333334,5.477843032568073,3.8873465029364658,잠실,0.9512583942824044,5.080645161290323,5.225806451612903,1.6774193548387095,6.82258064516129,4.064516129032258,0.5806451612903226,0.1672597864768683,0.099644128113879,4.564765857775176,102.80688996740128,97.26974527846208,62.0
2026,2026-04-05,LG,46.0,1271.0,71.0,321.0,85.0,6.0,33.0,56.0,41.0,40.0,711.3333333333334,5.200093720712277,3.7085285848172447,잠실,0.9512583942824044,5.070422535211268,5.197183098591549,1.6619718309859155,7.098591549295775,4.183098591549296,0.7605633802816901,0.1744548286604361,0.102803738317757,4.624021542563724,97.79091758841356,102.25898525759224,71.0
2026,2026-04-06,LG,46.0,1271.0,71.0,321.0,85.0,6.0,33.0,56.0,41.0,40.0,711.3333333333334,5.200093720712277,3.7085285848172447,잠실,0.9512583942824044,5.070422535211268,5.197183098591549,1.6619718309859155,7.098591549295775,4.183098591549296,0.7605633802816901,0.1744548286604361,0.102803738317757,4.624021542563724,97.79091758841356,102.25898525759224,71.0
2026,2026-04-07,LG,51.0,1431.0,80.0,360.0,94.0,6.0,36.0,65.0,41.0,40.0,801.3333333333334,5.031613976705491,3.697587354409318,잠실,0.9512583942824044,4.5,4.6125,1.625,7.3125,4.05,0.675,0.1805555555555555,0.1,4.397587354409318,106.61696200207564,93.79370610658852,80.0
2026,2026-04-08,LG,56.0,1584.0,89.0,398.0,101.0,8.0,40.0,75.0,45.0,44.0,888.3333333333334,4.984615384615385,3.578611632270169,잠실,0.9512583942824044,4.449438202247191,4.550561797752809,1.5842696629213484,7.584269662921348,4.044943820224719,0.8089887640449438,0.1884422110552764,0.100502512562814,4.410072306427472,106.82132893098822,93.61426318203256,89.0
2026,2026-04-09,LG,56.0,1584.0,89.0,398.0,101.0,8.0,40.0,75.0,45.0,44.0,888.3333333333334,4.984615384615385,3.578611632270169,잠실,0.9512583942824044,4.449438202247191,4.550561797752809,1.5842696629213484,7.584269662921348,4.044943820224719,0.8089887640449438,0.1884422110552764,0.100502512562814,4.410072306427472,106.82132893098822,93.61426318203256,89.0
