Date,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,gameId
2026.05.01,17:00,두산,,,키움,고척,20260501OBWO0,20260501OBWO0
2026.05.02,17:00,NC,,,LG,잠실,20260502NCLG0,20260502NCLG0
2026.05.02,17:00,롯데,,,SSG,문학,20260502LTSK0,20260502LTSK0
2026.05.02,17:00,한화,,,삼성,대구,20260502HHSS0,20260502HHSS0
2026.05.02,17:00,KT,,,KIA,광주,20260502KTHT0,20260502KTHT0
2026.05.02,17:00,두산,,,키움,고척,20260502OBWO0,20260502OBWO0
2026.05.03,14:00,NC,,,LG,잠실,20260503NCLG0,20260503NCLG0
2026.05.03,14:00,롯데,,,SSG,문학,20260503LTSK0,20260503LTSK0
2026.05.03,14:00,한화,,,삼성,대구,20260503HHSS0,20260503HHSS0
2026.05.03,14:00,KT,,,KIA,광주,20260503KTHT0,20260503KTHT0
2026.05.03,14:00,두산,,,키움,고척,20260503OBWO0,20260503OBWO0
2026.05.05,14:00,두산,,,LG,잠실,20260505OBLG0,20260505OBLG0
2026.05.05,14:00,NC,,,SSG,문학,20260505NCSK0,20260505NCSK0
2026.05.05,14:00,키움,,,삼성,대구,20260505WOSS0,20260505WOSS0
2026.05.05,14:00,롯데,,,KT,수원,20260505LTKT0,20260505LTKT0
2026.05.05,14:00,한화,,,KIA,광주,20260505HHHT0,20260505HHHT0
2026.05.06,18:30,두산,,,LG,잠실,20260506OBLG0,20260506OBLG0
2026.05.06,18:30,NC,,,SSG,문학,20260506NCSK0,20260506NCSK0
2026.05.06,18:30,키움,,,삼성,대구,20260506WOSS0,20260506WOSS0
2026.05.06,18:30,롯데,,,KT,수원,20260506LTKT0,20260506LTKT0
2026.05.06,18:30,한화,,,KIA,광주,20260506HHHT0,20260506HHHT0
2026.05.07,18:30,두산,,,LG,잠실,20260507OBLG0,20260507OBLG0
2026.05.07,18:30,NC,,,SSG,문학,20260507NCSK0,20260507NCSK0
2026.05.07,18:30,키움,,,삼성,대구,20260507WOSS0,20260507WOSS0
2026.05.07,18:30,롯데,,,KT,수원,20260507LTKT0,20260507LTKT0
2026.05.07,18:30,한화,,,KIA,광주,20260507HHHT0,20260507HHHT0
2026.05.08,18:30,SSG,,,두산,잠실,20260508SKOB0,20260508SKOB0
2026.05.08,18:30,KIA,,,롯데,사직,20260508HTLT0,20260508HTLT0
2026.05.08,18:30,삼성,,,NC,창원,20260508SSNC0,20260508SSNC0
2026.05.08,18:30,KT,,,키움,고척,20260508KTWO0,20260508KTWO0
2026.05.08,18:30,LG,,,한화,대전,20260508LGHH0,20260508LGHH0
2026.05.09,17:00,SSG,,,두산,잠실,20260509SKOB0,20260509SKOB0
2026.05.09,17:00,KIA,,,롯데,사직,20260509HTLT0,20260509HTLT0
2026.05.09,17:00,삼성,,,NC,창원,20260509SSNC0,20260509SSNC0
2026.05.09,17:00,KT,,,키움,고척,20260509KTWO0,20260509KTWO0
2026.05.09,17:00,LG,,,한화,대전,20260509LGHH0,20260509LGHH0
2026.05.10,14:00,SSG,,,두산,잠실,20260510SKOB0,20260510SKOB0
2026.05.10,14:00,KIA,,,롯데,사직,20260510HTLT0,20260510HTLT0
2026.05.10,14:00,삼성,,,NC,창원,20260510SSNC0,20260510SSNC0
2026.05.10,14:00,KT,,,키움,고척,20260510KTWO0,20260510KTWO0
2026.05.10,14:00,LG,,,한화,대전,20260510LGHH0,20260510LGHH0
2026.05.12,18:30,삼성,,,LG,잠실,20260512SSLG0,20260512SSLG0
2026.05.12,18:30,NC,,,롯데,사직,20260512NCLT0,20260512NCLT0
2026.05.12,18:30,SSG,,,KT,수원,20260512SKKT0,20260512SKKT0
2026.05.12,18:30,두산,,,KIA,광주,20260512OBHT0,20260512OBHT0
2026.05.12,18:30,한화,,,키움,고척,20260512HHWO0,20260512HHWO0
2026.05.13,18:30,삼성,,,LG,잠실,20260513SSLG0,20260513SSLG0
2026.05.13,18:30,NC,,,롯데,사직,20260513NCLT0,20260513NCLT0
2026.05.13,18:30,SSG,,,KT,수원,20260513SKKT0,20260513SKKT0
2026.05.13,18:30,두산,,,KIA,광주,20260513OBHT0,20260513OBHT0
2026.05.13,18:30,한화,,,키움,고척,20260513HHWO0,20260513HHWO0
2026.05.14,18:30,삼성,,,LG,잠실,20260514SSLG0,20260514SSLG0
2026.05.14,18:30,NC,,,롯데,사직,20260514NCLT0,20260514NCLT0
2026.05.14,18:30,SSG,,,KT,수원,20260514SKKT0,20260514SKKT0
2026.05.14,18:30,두산,,,KIA,광주,20260514OBHT0,20260514OBHT0
2026.05.14,18:30,한화,,,키움,고척,20260514HHWO0,20260514HHWO0
2026.05.15,18:30,롯데,,,두산,잠실,20260515LTOB0,20260515LTOB0
2026.05.15,18:30,LG,,,SSG,문학,20260515LGSK0,20260515LGSK0
2026.05.15,18:30,KIA,,,삼성,대구,20260515HTSS0,20260515HTSS0
2026.05.15,18:30,키움,,,NC,창원,20260515WONC0,20260515WONC0
2026.05.15,18:30,한화,,,KT,수원,20260515HHKT0,20260515HHKT0
2026.05.16,17:00,롯데,,,두산,잠실,20260516LTOB0,20260516LTOB0
2026.05.16,17:00,LG,,,SSG,문학,20260516LGSK0,20260516LGSK0
2026.05.16,17:00,KIA,,,삼성,대구,20260516HTSS0,20260516HTSS0
2026.05.16,17:00,키움,,,NC,창원,20260516WONC0,20260516WONC0
2026.05.16,17:00,한화,,,KT,수원,20260516HHKT0,20260516HHKT0
2026.05.17,14:00,롯데,,,두산,잠실,20260517LTOB0,20260517LTOB0
2026.05.17,14:00,LG,,,SSG,문학,20260517LGSK0,20260517LGSK0
2026.05.17,14:00,KIA,,,삼성,대구,20260517HTSS0,20260517HTSS0
2026.05.17,14:00,키움,,,NC,창원,20260517WONC0,20260517WONC0
2026.05.17,14:00,한화,,,KT,수원,20260517HHKT0,20260517HHKT0
2026.05.19,18:30,NC,,,두산,잠실,20260519NCOB0,20260519NCOB0
2026.05.19,18:30,LG,,,KIA,광주,20260519LGHT0,20260519LGHT0
2026.05.19,18:30,SSG,,,키움,고척,20260519SKWO0,20260519SKWO0
2026.05.19,18:30,롯데,,,한화,대전,20260519LTHH0,20260519LTHH0
2026.05.19,18:30,KT,,,삼성,포항,20260519KTSS0,20260519KTSS0
2026.05.20,18:30,NC,,,두산,잠실,20260520NCOB0,20260520NCOB0
2026.05.20,18:30,LG,,,KIA,광주,20260520LGHT0,20260520LGHT0
2026.05.20,18:30,SSG,,,키움,고척,20260520SKWO0,20260520SKWO0
2026.05.20,18:30,롯데,,,한화,대전,20260520LTHH0,20260520LTHH0
2026.05.20,18:30,KT,,,삼성,포항,20260520KTSS0,20260520KTSS0
2026.05.21,18:30,NC,,,두산,잠실,20260521NCOB0,20260521NCOB0
2026.05.21,18:30,LG,,,KIA,광주,20260521LGHT0,20260521LGHT0
2026.05.21,18:30,SSG,,,키움,고척,20260521SKWO0,20260521SKWO0
2026.05.21,18:30,롯데,,,한화,대전,20260521LTHH0,20260521LTHH0
2026.05.21,18:30,KT,,,삼성,포항,20260521KTSS0,20260521KTSS0
2026.05.22,18:30,키움,,,LG,잠실,20260522WOLG0,20260522WOLG0
2026.05.22,18:30,삼성,,,롯데,사직,20260522SSLT0,20260522SSLT0
2026.05.22,18:30,NC,,,KT,수원,20260522NCKT0,20260522NCKT0
2026.05.22,18:30,SSG,,,KIA,광주,20260522SKHT0,20260522SKHT0
2026.05.22,18:30,두산,,,한화,대전,20260522OBHH0,20260522OBHH0
2026.05.23,17:00,키움,,,LG,잠실,20260523WOLG0,20260523WOLG0
2026.05.23,17:00,삼성,,,롯데,사직,20260523SSLT0,20260523SSLT0
2026.05.23,17:00,NC,,,KT,수원,20260523NCKT0,20260523NCKT0
2026.05.23,17:00,SSG,,,KIA,광주,20260523SKHT0,20260523SKHT0
2026.05.23,17:00,두산,,,한화,대전,20260523OBHH0,20260523OBHH0
2026.05.24,14:00,키움,,,LG,잠실,20260524WOLG0,20260524WOLG0
2026.05.24,14:00,삼성,,,롯데,사직,20260524SSLT0,20260524SSLT0
2026.05.24,14:00,NC,,,KT,수원,20260524NCKT0,20260524NCKT0
2026.05.24,14:00,SSG,,,KIA,광주,20260524SKHT0,20260524SKHT0
2026.05.24,14:00,두산,,,한화,대전,20260524OBHH0,20260524OBHH0
2026.05.26,18:30,KT,,,두산,잠실,20260526KTOB0,20260526KTOB0
2026.05.26,18:30,삼성,,,SSG,문학,20260526SSSK0,20260526SSSK0
2026.05.26,18:30,LG,,,롯데,사직,20260526LGLT0,20260526LGLT0
2026.05.26,18:30,한화,,,NC,창원,20260526HHNC0,20260526HHNC0
2026.05.26,18:30,KIA,,,키움,고척,20260526HTWO0,20260526HTWO0
2026.05.27,18:30,KT,,,두산,잠실,20260527KTOB0,20260527KTOB0
2026.05.27,18:30,삼성,,,SSG,문학,20260527SSSK0,20260527SSSK0
2026.05.27,18:30,LG,,,롯데,사직,20260527LGLT0,20260527LGLT0
2026.05.27,18:30,한화,,,NC,창원,20260527HHNC0,20260527HHNC0
2026.05.27,18:30,KIA,,,키움,고척,20260527HTWO0,20260527HTWO0
2026.05.28,18:30,KT,,,두산,잠실,20260528KTOB0,20260528KTOB0
2026.05.28,18:30,삼성,,,SSG,문학,20260528SSSK0,20260528SSSK0
2026.05.28,18:30,LG,,,롯데,사직,20260528LGLT0,20260528LGLT0
2026.05.28,18:30,한화,,,NC,창원,20260528HHNC0,20260528HHNC0
2026.05.28,18:30,KIA,,,키움,고척,20260528HTWO0,20260528HTWO0
2026.05.29,18:30,KIA,,,LG,잠실,20260529HTLG0,20260529HTLG0
2026.05.29,18:30,두산,,,삼성,대구,20260529OBSS0,20260529OBSS0
2026.05.29,18:30,롯데,,,NC,창원,20260529LTNC0,20260529LTNC0
2026.05.29,18:30,KT,,,키움,고척,20260529KTWO0,20260529KTWO0
2026.05.29,18:30,SSG,,,한화,대전,20260529SKHH0,20260529SKHH0
2026.05.30,17:00,KIA,,,LG,잠실,20260530HTLG0,20260530HTLG0
2026.05.30,17:00,두산,,,삼성,대구,20260530OBSS0,20260530OBSS0
2026.05.30,17:00,롯데,,,NC,창원,20260530LTNC0,20260530LTNC0
2026.05.30,17:00,KT,,,키움,고척,20260530KTWO0,20260530KTWO0
2026.05.30,17:00,SSG,,,한화,대전,20260530SKHH0,20260530SKHH0
2026.05.31,14:00,KIA,,,LG,잠실,20260531HTLG0,20260531HTLG0
2026.05.31,14:00,두산,,,삼성,대구,20260531OBSS0,20260531OBSS0
2026.05.31,14:00,롯데,,,NC,창원,20260531LTNC0,20260531LTNC0
2026.05.31,14:00,KT,,,키움,고척,20260531KTWO0,20260531KTWO0
2026.05.31,14:00,SSG,,,한화,대전,20260531SKHH0,20260531SKHH0
