날짜,타점,득점,타석,타수,안타,볼넷,사구,삼진,2루타,3루타,홈런,희번,희비,병살타,타격방해,고의사구,팀,연도,home_stadium,FinalPF,단타,TB,Outs,타율,출루율,장타율,OPS,순출루율,순장타율,K%,BB%,BB/K,BABIP,SecA,PA/HR,AB/HR,GPA,RC,RC/27,XR,TAVG,wOBA,wRAA,wRC+
2026-04-08,67.0,73.0,418.0,346.0,100.0,62.0,5.0,70.0,27.0,1.0,12.0,2.0,3.0,6.0,0.0,1.0,SSG,2026,문학,1.027807913649001,60.0,165.0,257.0,0.2890173410404624,0.4014423076923077,0.476878612716763,0.8783209204090707,0.1124249666518452,0.1878612716763005,0.1674641148325359,0.1483253588516746,0.8857142857142857,0.3295880149812734,0.3670520231213873,34.833333333333336,28.83333333333333,0.2998686916407292,53.07216494845361,5.575674916763609,98.4,0.9027237354085604,0.4065303878720526,16.507346680760218,126.80861594528608
2026-04-09,67.0,73.0,418.0,346.0,100.0,62.0,5.0,70.0,27.0,1.0,12.0,2.0,3.0,6.0,0.0,1.0,SSG,2026,문학,1.027807913649001,60.0,165.0,257.0,0.2890173410404624,0.4014423076923077,0.476878612716763,0.8783209204090707,0.1124249666518452,0.1878612716763005,0.1674641148325359,0.1483253588516746,0.8857142857142857,0.3295880149812734,0.3670520231213873,34.833333333333336,28.83333333333333,0.2998686916407292,53.07216494845361,5.575674916763609,98.4,0.9027237354085604,0.4065303878720526,16.507346680760218,126.80861594528608
2026-04-10,68.0,75.0,457.0,380.0,108.0,66.0,5.0,77.0,28.0,1.0,12.0,3.0,3.0,7.0,0.0,1.0,SSG,2026,문학,1.027807913649001,67.0,174.0,285.0,0.2842105263157894,0.394273127753304,0.4578947368421052,0.8521678645954092,0.1100626014375145,0.1736842105263157,0.1684901531728665,0.1444201312910284,0.8571428571428571,0.3265306122448979,0.3473684210526316,38.083333333333336,31.666666666666668,0.2918965916995131,54.70454545454545,5.182535885167464,104.67399999999998,0.8596491228070176,0.3957415043004705,14.36297099188825,120.76721308145817
2026-04-11,71.0,78.0,498.0,419.0,121.0,68.0,5.0,85.0,30.0,1.0,13.0,3.0,3.0,8.0,0.0,1.0,SSG,2026,문학,1.027807913649001,77.0,192.0,312.0,0.2887828162291169,0.3919191919191919,0.4582338902147971,0.8501530821339891,0.103136375690075,0.1694510739856802,0.1706827309236948,0.1365461847389558,0.8,0.3333333333333333,0.3317422434367542,38.30769230769231,32.23076923076923,0.2909221089173356,60.52539404553415,5.237774484709687,113.7,0.8493589743589743,0.3950801205775442,16.227194846558568,122.01415055990546
2026-04-12,72.0,79.0,535.0,452.0,129.0,70.0,6.0,89.0,32.0,1.0,13.0,3.0,4.0,9.0,0.0,1.0,SSG,2026,문학,1.027807913649001,83.0,202.0,339.0,0.2853982300884956,0.3853383458646616,0.4469026548672566,0.8322410007319183,0.099940115776166,0.161504424778761,0.1663551401869158,0.1308411214953271,0.7865168539325843,0.327683615819209,0.3163716814159292,41.15384615384615,34.76923076923077,0.2851279193559119,62.48445171849427,4.976637747490694,120.658,0.8200589970501475,0.3875066985966066,15.008876935173852,118.78749937731683
2026-03-28,0.0,0.0,34.0,31.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,두산,2026,잠실,0.9512583942824044,2.0,4.0,28.0,0.0967741935483871,0.1764705882352941,0.1290322580645161,0.3055028462998103,0.079696394686907,0.032258064516129,0.1176470588235294,0.0588235294117647,0.5,0.1111111111111111,0.0967741935483871,0.0,0.0,0.1116698292220114,0.6486486486486487,0.6254826254826256,4.508,0.25,0.167740424339921,-6.400074626865671,-21.389755143780363
2026-03-29,9.0,9.0,75.0,67.0,13.0,7.0,1.0,13.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,8.0,24.0,54.0,0.1940298507462686,0.28,0.3582089552238806,0.6382089552238805,0.0859701492537313,0.1641791044776119,0.1733333333333333,0.0933333333333333,0.5384615384615384,0.196078431372549,0.2686567164179104,25.0,22.33333333333333,0.2155522388059702,6.072289156626506,3.036144578313253,14.806,0.5925925925925926,0.2863674620485698,-6.273745204742313,51.016470967971706
2026-03-30,9.0,9.0,75.0,67.0,13.0,7.0,1.0,13.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,8.0,24.0,54.0,0.1940298507462686,0.28,0.3582089552238806,0.6382089552238805,0.0859701492537313,0.1641791044776119,0.1733333333333333,0.0933333333333333,0.5384615384615384,0.196078431372549,0.2686567164179104,25.0,22.33333333333333,0.2155522388059702,6.072289156626506,3.036144578313253,14.806,0.5925925925925926,0.2863674620485698,-6.273745204742313,51.016470967971706
2026-03-31,14.0,14.0,127.0,109.0,25.0,14.0,2.0,19.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,16.0,40.0,87.0,0.2293577981651376,0.3253968253968254,0.3669724770642202,0.6923693024610456,0.0960390272316877,0.1376146788990825,0.1496062992125984,0.1102362204724409,0.7368421052631579,0.25,0.2660550458715596,42.333333333333336,36.333333333333336,0.2381716906946265,10.62937062937063,3.29877019532192,26.018,0.6436781609195402,0.3230508561093438,-5.148564385116871,77.19747694374249
2026-04-01,17.0,17.0,162.0,143.0,32.0,15.0,2.0,23.0,6.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,22.0,50.0,114.0,0.2237762237762237,0.3043478260869565,0.3496503496503496,0.6539981757373061,0.0805716023107327,0.1258741258741258,0.1419753086419753,0.0925925925925925,0.6521739130434783,0.2393162393162393,0.2307692307692307,40.5,35.75,0.2243691091517178,12.849162011173185,3.043222581593649,32.476,0.5877192982456141,0.3038707766342029,-10.204909230055655,63.47508364049184
2026-04-02,19.0,19.0,196.0,174.0,36.0,17.0,3.0,31.0,7.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,24.0,58.0,141.0,0.2068965517241379,0.2871794871794871,0.3333333333333333,0.6205128205128205,0.0802829354553492,0.1264367816091954,0.1581632653061224,0.086734693877551,0.5483870967741935,0.2230215827338129,0.2241379310344827,39.2,34.8,0.2125641025641025,14.23148148148148,2.725177304964539,37.582,0.5531914893617021,0.2892666567150838,-13.670468179039336,58.5100988839528
2026-04-03,24.0,25.0,240.0,209.0,46.0,25.0,4.0,39.0,7.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,34.0,68.0,168.0,0.2200956937799043,0.3138075313807531,0.3253588516746411,0.6391663830553942,0.0937118376008488,0.1052631578947368,0.1625,0.1041666666666666,0.6410256410256411,0.2469879518072289,0.2248803827751196,48.0,41.8,0.2225531020399991,17.695167286245354,2.8438661710037176,45.648,0.5773809523809523,0.3059241654872191,-13.299654546454905,67.23735278561604
2026-04-04,25.0,28.0,276.0,243.0,54.0,27.0,4.0,46.0,9.0,0.0,5.0,1.0,1.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,40.0,78.0,195.0,0.2222222222222222,0.3090909090909091,0.3209876543209876,0.6300785634118967,0.0868686868686868,0.0987654320987654,0.1666666666666666,0.0978260869565217,0.5869565217391305,0.2538860103626943,0.2098765432098765,55.2,48.6,0.219337822671156,20.07166123778501,2.7791530944625404,51.422,0.558974358974359,0.3014428327020757,-16.52526151689467,63.57526252617307
2026-04-05,32.0,36.0,315.0,273.0,62.0,32.0,6.0,56.0,9.0,2.0,6.0,3.0,1.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,45.0,93.0,219.0,0.2271062271062271,0.3205128205128205,0.3406593406593406,0.6611721611721613,0.0934065934065934,0.1135531135531135,0.1777777777777777,0.1015873015873015,0.5714285714285714,0.2641509433962264,0.2307692307692307,52.5,45.5,0.2293956043956044,24.237960339943346,2.98824168574644,60.002,0.5981735159817352,0.3155391348969988,-13.014597607557846,74.91763772889597
2026-04-06,32.0,36.0,315.0,273.0,62.0,32.0,6.0,56.0,9.0,2.0,6.0,3.0,1.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,45.0,93.0,219.0,0.2271062271062271,0.3205128205128205,0.3406593406593406,0.6611721611721613,0.0934065934065934,0.1135531135531135,0.1777777777777777,0.1015873015873015,0.5714285714285714,0.2641509433962264,0.2307692307692307,52.5,45.5,0.2293956043956044,24.237960339943346,2.98824168574644,60.002,0.5981735159817352,0.3155391348969988,-13.014597607557846,74.91763772889597
2026-04-07,34.0,38.0,353.0,304.0,68.0,36.0,7.0,64.0,11.0,3.0,6.0,3.0,3.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,48.0,103.0,246.0,0.2236842105263158,0.3171428571428571,0.3388157894736842,0.6559586466165414,0.0934586466165413,0.1151315789473684,0.1813031161473088,0.1019830028328611,0.5625,0.2616033755274262,0.2335526315789473,58.833333333333336,50.66666666666666,0.2274182330827067,26.27020202020202,2.8833148558758315,67.16799999999999,0.5934959349593496,0.3138333893972089,-13.471559402810303,76.32570613321288
2026-04-08,40.0,45.0,394.0,334.0,76.0,42.0,9.0,66.0,13.0,3.0,6.0,4.0,5.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,54.0,113.0,271.0,0.2275449101796407,0.3256410256410256,0.3383233532934132,0.6639643789344388,0.0980961154613849,0.1107784431137724,0.1675126903553299,0.1065989847715736,0.6363636363636364,0.2621722846441947,0.2365269461077844,65.66666666666667,55.66666666666666,0.2311192998618148,28.94831460674157,2.884149425763921,76.71199999999999,0.6051660516605166,0.3181820376021577,-13.90208333750594,78.4367484320937
2026-04-09,40.0,45.0,394.0,334.0,76.0,42.0,9.0,66.0,13.0,3.0,6.0,4.0,5.0,4.0,0.0,1.0,두산,2026,잠실,0.9512583942824044,54.0,113.0,271.0,0.2275449101796407,0.3256410256410256,0.3383233532934132,0.6639643789344388,0.0980961154613849,0.1107784431137724,0.1675126903553299,0.1065989847715736,0.6363636363636364,0.2621722846441947,0.2365269461077844,65.66666666666667,55.66666666666666,0.2311192998618148,28.94831460674157,2.884149425763921,76.71199999999999,0.6051660516605166,0.3181820376021577,-13.90208333750594,78.4367484320937
2026-04-10,48.0,53.0,442.0,374.0,87.0,46.0,10.0,79.0,16.0,4.0,6.0,6.0,6.0,6.0,0.0,2.0,두산,2026,잠실,0.9512583942824044,61.0,129.0,305.0,0.232620320855615,0.3279816513761467,0.3449197860962567,0.6729014374724034,0.0953613305205317,0.1122994652406416,0.1787330316742081,0.1040723981900452,0.5822784810126582,0.2745762711864407,0.2352941176470588,73.66666666666667,62.333333333333336,0.2338216896433302,32.37951807228916,2.866383567055106,84.89799999999998,0.6065573770491803,0.3195658606753612,-14.6427817226101,80.05269932372394
