date,gameId,Time,Away,Away_R,Home_R,Home,Stadium,Review_URL,ELO_pre_away,ELO_pre_home,away_win_prob,home_win_prob,elo_post_away,elo_post_home,away_starter,home_starter,away_starter_rgs,home_starter_rgs,away_team_rgs,home_team_rgs,away_adj,home_adj,elo_match_away,elo_match_home
2026-04-11,20260411HTHH0,14:00,KIA,6.0,5.0,한화,대전,20260411HTHH0,1492.7742,1503.6862,0.3791,0.6209,1494.4443,1502.0161,이의리,왕옌청,36.712,52.6433,50.7196,54.2671,-57.431,-6.6575,1435.3433,1521.0288
2026-04-11,20260411LTWO0,17:00,롯데,3.0,1.0,키움,고척,20260411LTWO0,1493.8263,1487.3374,0.462,0.538,1496.138,1485.0257,비슬리,와일스,47.3833,48.8033,47.152,46.3982,0.9485,9.861,1494.7747,1521.1983
2026-04-11,20260411NCSS0,17:00,NC,4.0,5.0,삼성,대구,20260411NCSS0,1505.1821,1505.5578,0.4613,0.5387,1503.935,1506.8049,테일러,오러클린,53.2433,50.5033,51.7249,48.3498,6.2256,8.8296,1511.4077,1538.3873
2026-04-11,20260411OBKT0,17:00,두산,4.0,6.0,KT,수원,20260411OBKT0,1488.8895,1510.205,0.5122,0.4878,1486.6733,1512.4213,잭로그,소형준,61.0703,49.0667,50.3564,51.4818,43.927,-9.902,1532.8165,1524.3031
2026-04-11,20260411SKLG0,17:00,SSG,3.0,4.0,LG,잠실,20260411SKLG0,1506.8565,1505.685,0.4546,0.5454,1505.6282,1506.9133,김건우,임찬규,46.0831,50.3993,48.8418,51.0138,-11.3107,-2.5195,1495.5458,1527.1655
2026-04-12,20260412HTHH0,14:00,KIA,9.0,3.0,한화,대전,20260412HTHH0,1494.4443,1502.0161,0.5502,0.4498,1497.8464,1498.6141,올러,쿠싱,63.3092,50.624,50.7196,54.2671,51.6177,-14.9369,1546.062,1511.0792
2026-04-12,20260412LTWO0,14:00,롯데,0.0,2.0,키움,고척,20260412LTWO0,1496.138,1485.0257,0.4558,0.5442,1494.1949,1486.9687,박세웅,안우진,47.0086,50.624,47.152,46.3982,-0.5881,17.3255,1495.5499,1526.3512
2026-04-12,20260412NCSS0,14:00,NC,3.0,9.0,삼성,대구,20260412NCSS0,1503.935,1506.8049,0.4272,0.5728,1500.689,1510.0509,토다,원태인,52.3033,54.8074,51.7249,48.3498,2.3716,26.4763,1506.3066,1557.2811
2026-04-12,20260412OBKT0,14:00,두산,1.0,6.0,KT,수원,20260412OBKT0,1486.6733,1512.4213,0.4001,0.5999,1483.8442,1515.2503,최승용,보쉴리,48.7922,54.9433,50.3564,51.4818,-6.4135,14.1924,1480.2598,1550.6136
2026-04-12,20260412SKLG0,14:00,SSG,1.0,9.0,LG,잠실,20260412SKLG0,1505.6282,1506.9133,0.4567,0.5433,1501.7121,1510.8294,베니지아노,톨허스트,49.2833,52.64,48.8418,51.0138,1.8104,6.6675,1507.4385,1537.5808
